"varietal","category","average_price_varietal"
"Plyto","White","                19.50"
"Plavac Mali","Red","                34.00"
"Plavac Mali","White","                65.00"
"Piquepoul Blanc","White","                13.00"
"Pinotage-Merlot","Red","                10.00"
"Pinotage","Dessert","                18.00"
"Pinotage","Port/Sherry","                18.00"
"Pinotage","Red","                21.26"
"Pinotage","Rose","                10.92"
"Pinot Noir-Tannat","Red","                20.00"
"Pinot Noir-Syrah","Red","                32.00"
"Pinot Noir-Gamay","Dessert","                16.00"
"Pinot Noir-Gamay","Red","                18.24"
"Pinot Noir-Gamay","Sparkling","                22.00"
"Pinot Noir","Dessert","                40.56"
"Pinot Noir","Red","                46.56"
"Pinot Noir","Rose","                21.39"
"Pinot Noir","Sparkling","                42.25"
"Pinot Noir","White","                34.53"
"Pinot Nero","Red","                30.52"
"Pinot Nero","Rose","                18.00"
"Pinot Nero","Sparkling","                42.41"
"Pinot Nero","White","                12.00"
"Pinot Meunier","Red","                33.50"
"Pinot Meunier","Rose","                18.00"
"Pinot Meunier","Sparkling","                69.96"
"Pinot Gris-Gewürztraminer","White","                20.00"
"Pinot Gris","Dessert","                70.82"
"Pinot Gris","Fortified","                48.00"
"Pinot Gris","Red","                15.86"
"Pinot Gris","Rose","                22.00"
"Pinot Gris","Sparkling","                24.88"
"Pinot Gris","White","                21.95"
"Pinot Grigio-Sauvignon Blanc","White","                35.00"
"Pinot Grigio-Chardonnay","White","                10.00"
"Pinot Grigio","Dessert","                46.00"
"Pinot Grigio","Red","                12.33"
"Pinot Grigio","Rose","                12.00"
"Pinot Grigio","Sparkling","                15.00"
"Pinot Grigio","White","                15.34"
"Pinot Blanc-Viognier","White","                19.00"
"Pinot Blanc-Pinot Noir","Rose","                16.00"
"Pinot Blanc-Pinot Noir","Sparkling","                18.00"
"Pinot Blanc-Chardonnay","Sparkling","                25.67"
"Pinot Blanc-Chardonnay","White","                22.00"
"Pinot Blanc","Dessert","                40.83"
"Pinot Blanc","Red","                22.00"
"Pinot Blanc","Sparkling","                37.52"
"Pinot Blanc","White","                19.11"
"Pinot Bianco","Sparkling","                13.00"
"Pinot Bianco","White","                24.76"
"Pinot Auxerrois","Red","                22.00"
"Pinot Auxerrois","Sparkling","                19.50"
"Pinot Auxerrois","White","                24.17"
"Pinot-Chardonnay","Red","                34.00"
"Pinot-Chardonnay","Sparkling","                50.20"
"Pinot-Chardonnay","White","                28.67"
"Pineau d'Aunis","Rose",NULL
"Pineau d'Aunis","Sparkling","                16.00"
"Pignolo","Red","                52.33"
"Pignoletto","Dessert",NULL
"Pignoletto","Sparkling","                16.33"
"Pignoletto","White",NULL
"Pigato","White","                22.00"
"Piedirosso","Red","                21.46"
"Pied de Perdrix","Red","                13.00"
"Picpoul Blanc","White","                25.33"
"Picpoul","White","                21.38"
"Picolit","Dessert","                71.39"
"Picolit","White","                20.00"
"Picapoll","White","                22.00"
"Petroulianos","White","                25.00"
"Petite Syrah","Red","                40.00"
"Petite Sirah","Dessert","                36.38"
"Petite Sirah","Fortified","                80.00"
"Petite Sirah","Port/Sherry","                35.29"
"Petite Sirah","Red","                30.07"
"Petite Sirah","Rose","                20.50"
"Petite Sirah","White","                39.40"
"Petite Arvine","White","                30.00"
"Petit Verdot","Port/Sherry","                38.00"
"Petit Verdot","Red","                38.77"
"Petit Verdot","Rose","                30.00"
"Petit Meslier","Sparkling",NULL
"Petit Manseng","Dessert","                34.69"
"Petit Manseng","White","                26.62"
"Petit Courbu","White","                19.00"
"Perricone","Red","                24.53"
"Pelaverga Piccolo","Red","                28.00"
"Pedro Ximénez","Dessert","                16.13"
"Pedro Ximénez","Port/Sherry","                36.47"
"Pedro Ximénez","Red","                16.00"
